City,Latitude,Longitude,Max Temp,Cloudiness,Wind Speed,Humidity,Date
Taoudenni,22.68,-3.98,64.66,0,1.27,35,2018-10-28 01:22:20
Verkhnyaya Inta,65.99,60.32,29.11,92,1.72,85,2018-10-28 01:22:21
Gourcy,13.21,-2.36,75.28,0,1.62,70,2018-10-28 01:22:23
Deputatskiy,69.3,139.9,-9.55,8,1.47,65,2018-10-28 01:22:25
Gerash,27.67,54.14,69.78,75,4.1,64,2018-10-28 00:00:00
Gap,44.56,6.08,39.55,92,0.97,100,2018-10-28 01:22:27
College,64.86,-147.8,31.98,90,1.62,95,2018-10-28 00:58:00
Kadipur,26.16,82.38,64.43,0,1.22,79,2018-10-28 01:22:30
Bosaso,11.28,49.18,76.63,0,1.77,100,2018-10-28 01:22:31
Minna,9.62,6.55,74.65,36,1.22,92,2018-10-28 01:22:32
Gizo,31.8,34.94,58.98,0,2.1,67,2018-10-28 00:50:00
Xining,36.62,101.77,20.83,48,1.22,75,2018-10-28 01:22:35
Gidole,5.65,37.37,61.73,80,1.17,96,2018-10-28 01:22:36
Kahului,20.89,-156.47,87.78,40,10.3,62,2018-10-28 00:56:00
Peniche,39.36,-9.38,49.98,20,3.6,81,2018-10-28 01:00:00
Sao Jose da Coroa Grande,-8.9,-35.15,74.78,0,5.02,92,2018-10-28 01:22:41
Ushtobe,45.25,77.98,51.43,36,3.22,45,2018-10-28 01:22:42
Adolfo Lopez Mateos,26.8,-109.39,89.05,0,1.07,36,2018-10-28 01:22:43
Tyrma,50.04,132.17,27.4,88,4.12,84,2018-10-28 01:22:44
Aylmer,42.77,-80.98,35.58,90,4.1,93,2018-10-28 01:00:00
Port Lincoln,-34.72,135.86,61.82,88,3.87,89,2018-10-28 01:22:47
Eregli,37.51,34.05,29.11,0,1.42,69,2018-10-28 01:22:48
Itarema,-2.92,-39.92,77.8,0,6.17,81,2018-10-28 01:22:49
Kirakira,-10.46,161.92,83.6,12,3.02,100,2018-10-28 01:22:50
Obsharovka,53.12,48.85,30.05,68,3.02,98,2018-10-28 01:22:51
Ponta Delgada,37.73,-25.67,62.58,40,6.2,67,2018-10-28 01:00:00
Cape Coast,5.11,-1.24,75.5,12,1.72,96,2018-10-28 01:22:54
Sisimiut,66.94,-53.67,22.4,92,1.02,100,2018-10-28 01:19:19
Zyryanka,65.73,150.89,6.65,0,1.67,80,2018-10-28 01:22:56
Altay,47.83,88.13,9.08,0,0.97,52,2018-10-28 01:22:57
Rudsar,37.14,50.29,57.18,90,1.0,82,2018-10-28 00:00:00
Boden,65.83,21.69,22.98,0,3.6,85,2018-10-28 00:50:00
Sao Felix do Xingu,-6.64,-51.99,79.91,12,0.57,87,2018-10-28 01:23:01
Satana,20.6,74.2,62.5,0,1.52,70,2018-10-28 01:23:02
Poli,8.48,13.24,72.85,32,0.12,85,2018-10-28 01:23:06
Tuatapere,-46.13,167.69,48.91,92,1.12,100,2018-10-28 01:23:07
Perpignan,42.7,2.88,49.98,56,3.1,57,2018-10-28 01:00:00
Mahibadhoo,3.78,72.97,81.4,64,2.82,100,2018-10-28 01:23:09
Leh,34.16,77.58,-16.25,20,0.87,72,2018-10-28 01:23:10
Chambersburg,39.94,-77.66,49.98,90,1.5,87,2018-10-28 01:00:00
Zarubino,42.65,131.06,45.62,92,4.62,100,2018-10-28 01:23:13
Hovd,63.83,10.7,26.58,75,3.1,85,2018-10-28 00:50:00
Lavrentiya,65.58,-170.99,29.42,0,9.52,100,2018-10-28 01:23:15
Saint George,39.45,22.34,53.58,0,2.1,93,2018-10-28 00:50:00
Tautira,-17.73,-149.15,82.38,40,6.7,69,2018-10-28 01:00:00
Santa Fe,-31.62,-60.7,67.54,92,2.97,59,2018-10-28 01:23:19
Nawa,27.02,75.0,60.79,0,2.07,51,2018-10-28 01:23:20
Chistoye,56.54,43.0,33.78,90,4.0,96,2018-10-28 00:30:00
Soyapango,13.73,-89.15,80.58,90,5.1,100,2018-10-28 00:50:00
Dong Hoi,17.48,106.6,77.03,12,0.87,100,2018-10-28 01:23:24
Balkhash,46.84,74.98,48.55,44,7.02,83,2018-10-28 01:23:26
Kedrovyy,56.17,91.82,26.58,0,3.22,92,2018-10-28 00:30:00
Ingham,-18.65,146.16,80.9,0,2.67,86,2018-10-28 01:23:28
Sibu,2.29,111.83,84.18,75,1.5,79,2018-10-28 01:00:00
Flinders,-34.58,150.85,64.38,90,6.2,45,2018-10-28 00:00:00
Maltahohe,-24.83,16.98,70.06,92,5.17,43,2018-10-28 01:23:33
Ellisras,-23.67,27.74,66.86,0,3.87,33,2018-10-28 01:23:34
La Asuncion,-1.64,-78.74,45.71,48,0.62,100,2018-10-28 01:23:35
Ayabaca,-4.64,-79.72,60.88,80,0.72,92,2018-10-28 01:23:36
Zenzeli,45.92,47.05,37.84,0,4.22,87,2018-10-28 01:23:38
Campo Grande,-20.46,-54.62,73.38,40,2.1,83,2018-10-28 00:00:00
The Pas,53.82,-101.24,33.78,90,5.7,99,2018-10-28 01:00:00
Livingston,32.58,-88.19,60.78,1,2.1,72,2018-10-27 23:58:00
Verkhnyaya Khava,51.84,39.93,49.98,90,5.0,81,2018-10-28 00:30:00
Zhigansk,66.77,123.37,18.35,88,6.07,85,2018-10-28 01:23:46
Yarada,17.65,83.27,82.16,0,8.12,100,2018-10-28 01:23:47
Prince Rupert,54.32,-130.32,51.78,1,3.1,53,2018-10-28 01:00:00
Bilibino,68.06,166.44,2.42,80,1.32,83,2018-10-28 01:23:50
Hualmay,-11.1,-77.61,61.33,20,2.22,88,2018-10-28 01:23:51
Nouakchott,18.08,-15.98,73.7,56,7.82,98,2018-10-28 01:23:52
Nantucket,41.28,-70.1,60.78,40,6.7,100,2018-10-28 01:15:00
Vardo,39.62,-77.74,49.98,90,1.5,87,2018-10-28 01:00:00
Tura,25.52,90.21,65.11,0,1.12,89,2018-10-28 01:13:56
San Nicolas,14.94,-88.33,69.79,88,0.97,92,2018-10-28 01:23:57
Bay Roberts,47.58,-53.28,35.58,75,2.6,80,2018-10-28 01:00:00
Lebu,8.96,38.73,49.98,20,2.1,76,2018-10-28 01:00:00
Llata,-9.55,-76.82,46.07,88,1.07,98,2018-10-28 01:24:00
Golden,51.3,-116.96,40.98,90,1.5,93,2018-10-28 00:00:00
Dolores,-33.53,-58.22,64.39,12,4.92,51,2018-10-28 01:24:04
Oranjemund,-28.55,16.43,62.23,8,0.37,97,2018-10-28 01:24:05
Nome,30.04,-94.42,67.98,1,2.6,72,2018-10-28 00:55:00
Khonsa,26.99,95.51,58.85,44,0.12,89,2018-10-28 01:24:07
Cam Ranh,11.92,109.15,79.82,92,7.17,92,2018-10-28 01:24:08
Viedma,-40.81,-62.99,65.29,12,3.47,41,2018-10-28 01:24:10
Kisangani,0.52,25.21,68.26,24,0.97,100,2018-10-28 01:24:11
Vostok,46.45,135.83,28.84,80,2.07,79,2018-10-28 01:24:12
Bam,29.11,58.36,56.51,20,1.62,80,2018-10-28 01:24:13
Isangel,-19.55,169.27,76.0,0,1.72,100,2018-10-28 01:24:15
Jalu,29.03,21.55,66.86,44,5.42,41,2018-10-28 01:24:16
Mosalsk,54.49,34.98,46.03,92,4.47,92,2018-10-28 01:24:17
Beba,22.44,-79.73,78.78,20,1.5,78,2018-10-28 00:50:00
Russell,-33.01,-68.8,62.58,20,3.1,88,2018-10-28 00:00:00
Petukhovo,55.06,67.89,36.94,88,4.77,86,2018-10-28 01:24:21
Tonkino,57.37,46.46,32.08,68,2.87,84,2018-10-28 01:24:22
Buala,-8.15,159.59,86.12,68,1.97,82,2018-10-28 01:24:23
Bonavista,48.65,-53.11,40.0,20,5.22,100,2018-10-28 01:24:24
Isla Mujeres,21.23,-86.73,76.98,75,2.1,88,2018-10-28 00:44:00
Belaya Gora,68.54,146.19,10.88,76,5.12,86,2018-10-28 01:24:27
Boyolangu,-8.09,111.9,74.74,36,3.22,87,2018-10-28 01:24:28
Lashio,22.93,97.75,66.05,76,0.47,95,2018-10-28 01:24:30
Fort Saint James,54.43,-124.25,42.34,0,1.67,72,2018-10-28 01:24:31
Susangerd,31.56,48.19,62.58,0,2.1,63,2018-10-28 00:00:00
Redmond,47.67,-122.12,57.18,90,2.1,71,2018-10-28 01:00:00
Okato,-39.19,173.88,57.55,12,5.02,100,2018-10-28 01:24:35
Lerwick,60.15,-1.15,42.78,44,5.7,75,2018-10-28 00:50:00
Huilong,28.89,110.18,50.12,44,0.82,72,2018-10-28 01:24:37
Padang,-0.92,100.36,79.1,68,2.47,100,2018-10-28 01:24:39
Ilulissat,69.22,-51.1,28.38,12,1.5,100,2018-10-28 00:50:00
Abidjan,5.32,-4.02,80.58,40,3.1,83,2018-10-28 01:00:00
Svetlogorsk,53.14,59.15,30.18,75,5.0,68,2018-10-28 00:30:00
Kongolo,-5.39,27.0,69.79,56,1.17,90,2018-10-28 01:24:45
Zhoucheng,31.35,119.33,53.23,0,3.57,67,2018-10-28 01:24:46
Yamada,36.58,137.08,57.18,75,1.5,67,2018-10-28 00:00:00
Los Llanos de Aridane,28.66,-17.92,66.18,90,5.7,88,2018-10-28 01:00:00
Naples,26.14,-81.79,75.18,40,2.6,69,2018-10-28 00:53:00
Lenexa,38.95,-94.73,60.78,1,1.5,58,2018-10-28 00:54:00
Llandrindod Wells,52.24,-3.38,35.14,0,5.12,87,2018-10-28 01:24:52
Oranjestad,12.52,-70.03,82.38,20,7.7,83,2018-10-28 01:00:00
Halifax,44.65,-63.58,37.38,90,9.3,100,2018-10-28 01:00:00
Tessalit,20.2,1.01,57.41,36,1.37,41,2018-10-28 01:24:55
Blythe,33.61,-114.59,84.18,1,1.5,20,2018-10-28 00:52:00
Atambua,-9.11,124.89,82.88,0,1.62,85,2018-10-28 01:24:58
Fare,-16.7,-151.02,79.91,36,4.72,100,2018-10-28 01:24:59
Eyl,7.98,49.82,75.91,100,2.27,100,2018-10-28 01:25:00
Madisonville,37.33,-87.5,46.38,1,2.77,81,2018-10-28 00:56:00
Ust-Nera,64.57,143.24,2.51,44,1.12,77,2018-10-28 01:25:02
Bereda,43.27,-7.54,42.78,20,1.0,87,2018-10-28 01:00:00
Touros,-5.2,-35.46,76.09,0,4.32,91,2018-10-28 01:25:05
Sola,58.89,5.65,33.78,0,1.0,74,2018-10-28 00:50:00
Hondo,29.35,-99.14,73.38,1,1.5,64,2018-10-28 00:56:00
Xuddur,4.12,43.89,67.99,92,0.82,98,2018-10-28 01:25:09
Karasjok,69.47,25.52,30.18,0,6.2,74,2018-10-28 00:50:00
Bedesa,8.9,40.78,47.51,0,1.12,91,2018-10-28 01:25:12
Alacranes,22.77,-81.57,78.78,75,1.0,83,2018-10-28 00:50:00
Aranos,-24.14,19.11,69.79,64,2.27,21,2018-10-28 01:25:14
Shitkino,56.37,98.35,26.72,0,2.32,71,2018-10-28 01:22:14
Keti Bandar,24.14,67.45,82.52,0,3.87,96,2018-10-28 01:25:16
Comodoro Rivadavia,-45.87,-67.48,62.58,0,5.7,36,2018-10-28 00:00:00
Volosovo,59.45,29.48,35.58,75,6.0,93,2018-10-28 00:30:00
Nicoya,10.15,-85.45,78.78,75,1.5,94,2018-10-28 01:00:00
Rochegda,62.67,43.41,20.15,0,1.12,91,2018-10-28 01:25:21
Khani,41.96,42.96,55.38,0,9.3,58,2018-10-28 00:30:00
Jian,25.65,87.89,66.73,12,1.52,92,2018-10-28 01:25:24
Beidao,34.57,105.89,33.43,12,1.32,60,2018-10-28 01:25:25
Ouadda,8.07,22.4,67.36,32,1.22,93,2018-10-28 01:25:26
Moyale,3.52,39.05,62.9,44,1.27,98,2018-10-28 01:25:27
Aasiaat,68.71,-52.87,34.55,64,2.47,95,2018-10-28 01:25:28
Belyy Yar,53.6,91.39,19.38,12,1.12,92,2018-10-28 00:30:00
Jerez,36.68,-6.14,55.38,0,4.1,71,2018-10-28 01:00:00
Henderson,36.04,-114.98,82.38,1,1.5,22,2018-10-28 00:56:00
Kumbo,6.21,10.69,64.25,64,0.92,92,2018-10-28 01:25:33
Vyartsilya,62.18,30.69,27.49,0,5.47,82,2018-10-28 01:25:34
Thanh Hoa,10.21,106.33,77.21,8,3.72,94,2018-10-28 01:25:36
Kutum,14.2,24.66,66.91,0,4.37,33,2018-10-28 01:25:37
Moose Factory,51.26,-80.61,28.38,1,4.1,74,2018-10-28 01:00:00
Moussoro,13.64,16.49,75.55,0,1.32,61,2018-10-28 01:25:41
Tarpon Springs,28.15,-82.76,71.58,1,7.02,72,2018-10-28 01:15:00
Roros,62.57,11.38,21.18,75,2.1,92,2018-10-28 00:50:00
Erenhot,43.65,111.97,37.52,36,9.32,54,2018-10-28 01:25:46
The Valley,18.22,-63.06,80.58,20,4.1,74,2018-10-28 01:00:00
Amontada,-3.36,-39.83,77.21,0,4.57,70,2018-10-28 01:25:48
Camacha,33.08,-16.33,66.18,40,5.1,59,2018-10-28 01:00:00
Erzin,36.95,36.2,49.98,0,1.0,100,2018-10-28 00:50:00
Rio Grande,-32.03,-52.1,64.03,92,6.87,91,2018-10-28 01:25:52
Aksu,52.04,76.93,49.98,0,7.0,36,2018-10-28 00:30:00
Ruteng,-8.61,120.46,77.3,0,1.77,78,2018-10-28 01:25:54
Vao,59.1,26.19,37.48,92,7.92,97,2018-10-28 01:25:56
Praia,-20.25,-43.81,67.98,75,4.32,88,2018-10-28 00:00:00
Jacareacanga,-6.22,-57.76,81.49,0,1.32,82,2018-10-28 01:25:58
Agadir,30.42,-9.58,64.38,0,3.6,88,2018-10-28 01:00:00
Haselunne,52.67,7.48,35.58,0,4.17,100,2018-10-28 00:50:00
Sungai Padi,6.09,101.88,78.78,75,1.0,94,2018-10-28 01:00:00
Baherden,38.44,57.43,48.86,88,1.62,88,2018-10-28 01:23:51
Zhangye,38.94,100.46,29.06,0,3.47,69,2018-10-28 01:26:04
Komsomolskiy,67.55,63.78,24.65,76,3.27,87,2018-10-28 01:26:05
Qaqortoq,60.72,-46.03,33.78,68,2.1,80,2018-10-28 00:50:00
Emporia,38.4,-96.18,57.18,1,3.6,62,2018-10-28 00:53:00
Inongo,-1.93,18.29,75.23,56,0.62,96,2018-10-28 01:26:10
Sambava,-14.27,50.17,73.66,68,4.92,100,2018-10-28 01:26:11
Mayo,63.59,-135.9,28.38,20,1.17,79,2018-10-28 01:00:00
Matara,-13.74,-72.9,47.83,76,0.92,86,2018-10-28 01:23:40
Dali,25.6,100.24,47.51,88,0.87,100,2018-10-28 01:26:16
Sao Joao da Barra,-21.64,-41.05,74.33,68,4.37,100,2018-10-28 01:26:17
Trelew,-43.25,-65.31,60.92,0,1.42,48,2018-10-28 01:26:18
Staryy Nadym,65.61,72.68,29.96,76,6.72,88,2018-10-28 01:26:19
Forio,40.73,13.86,71.58,75,12.32,88,2018-10-28 00:55:00
Lazaro Cardenas,28.39,-105.62,64.38,5,3.1,45,2018-10-28 00:45:00
Macusani,-14.07,-70.43,53.36,76,0.47,100,2018-10-28 01:26:23
Palmer,61.6,-149.11,46.38,40,5.1,65,2018-10-28 00:56:00
Cockburn Town,21.46,-71.14,82.48,56,4.27,100,2018-10-28 01:26:25
Nimaparha,20.07,86.02,67.98,75,1.0,88,2018-10-28 01:00:00
Byron Bay,-28.65,153.62,80.58,76,7.2,54,2018-10-28 01:00:00
Evanston,42.04,-87.69,48.18,75,2.62,81,2018-10-28 01:15:00
Ishim,56.11,69.47,37.43,92,4.37,80,2018-10-28 01:26:31
Chapais,49.78,-74.86,24.78,1,3.6,62,2018-10-28 01:00:00
Ayacucho,-13.16,-74.23,46.52,76,0.67,91,2018-10-28 01:26:33
Kumo,10.05,11.21,76.22,44,0.67,76,2018-10-28 01:26:35
Djambala,-2.55,14.76,72.26,12,1.32,94,2018-10-28 01:26:36
Krutinka,56.01,71.51,39.73,92,4.57,94,2018-10-28 01:26:37
Cambara,-23.05,-50.07,67.45,12,3.52,89,2018-10-28 01:26:38
Rock Sound,24.9,-76.2,81.85,0,2.37,100,2018-10-28 01:26:39
Sao Filipe,14.9,-24.5,77.89,8,5.67,100,2018-10-28 01:26:41
Fairbanks,64.84,-147.72,31.98,90,1.62,95,2018-10-28 00:58:00
Matamoros,25.87,-97.51,71.58,1,2.6,83,2018-10-28 00:53:00
Caluquembe,-13.78,14.68,71.9,92,2.72,40,2018-10-28 01:26:44
Solnechnyy,50.72,136.64,35.63,44,4.07,85,2018-10-28 01:26:45
Agadez,16.97,7.99,80.95,56,3.32,44,2018-10-28 01:26:47
Carberry,49.87,-99.36,40.98,90,5.1,75,2018-10-28 01:00:00
Batemans Bay,-35.71,150.18,59.89,8,2.82,77,2018-10-28 01:26:49
Merrill,42.03,-121.6,62.58,1,3.22,42,2018-10-28 00:53:00
Gat,14.69,-16.54,78.78,8,1.0,78,2018-10-28 00:00:00
Walvis Bay,-22.95,14.51,66.23,12,1.07,91,2018-10-28 01:26:52
Houma,35.63,111.36,38.6,0,2.02,55,2018-10-28 01:26:54
Ponoka,52.68,-113.59,44.58,20,2.1,33,2018-10-28 01:00:00
La Ronge,55.1,-105.3,33.78,90,2.6,81,2018-10-28 01:00:00
Sitangkai,4.66,119.39,83.51,8,3.82,100,2018-10-28 01:26:57
Westport,53.8,-9.52,40.58,0,3.87,100,2018-10-28 01:26:59
Evensk,61.92,159.24,31.99,36,2.22,100,2018-10-28 01:27:00
Bandarbeyla,9.49,50.81,76.36,68,3.32,100,2018-10-28 01:27:02
Ukiah,39.15,-123.21,67.98,1,2.1,64,2018-10-28 00:56:00
Ulladulla,-35.36,150.48,60.11,24,5.92,95,2018-10-28 01:27:04
Yulara,-25.24,130.99,78.78,0,2.6,54,2018-10-28 01:00:00
Tias,28.96,-13.65,69.78,0,3.6,77,2018-10-28 01:00:00
Manadhoo,5.77,73.38,80.9,76,1.27,100,2018-10-28 01:27:08
Baruun-Urt,46.68,113.28,26.05,92,6.37,76,2018-10-28 01:27:09
Fairlie,33.31,-95.96,67.98,1,1.27,72,2018-10-28 00:56:00
Mao,19.55,-71.08,78.78,20,2.6,88,2018-10-28 01:00:00
Otofuke,43.02,143.2,55.38,20,5.7,54,2018-10-28 00:00:00
Margate,-43.03,147.26,55.38,75,3.1,43,2018-10-28 01:00:00
Elko,40.83,-115.76,62.58,1,2.12,33,2018-10-28 00:56:00
Ocos,14.51,-92.19,78.78,75,1.5,88,2018-10-28 00:41:00
Haimen,31.87,121.18,59.12,0,6.27,92,2018-10-28 01:27:18
Teacapan,22.54,-105.74,81.26,0,1.07,64,2018-10-28 01:27:20
Kon Tum,14.36,108.0,74.42,8,3.22,73,2018-10-28 01:27:21
Taltal,-25.41,-70.49,60.25,0,0.97,85,2018-10-28 01:27:22
Nara,34.68,135.8,64.38,20,2.6,59,2018-10-28 00:30:00
Vianden,49.93,6.21,37.38,68,6.2,86,2018-10-28 00:50:00
Pierre,44.37,-100.35,53.58,1,10.3,58,2018-10-28 00:53:00
Coahuayana,18.62,-100.35,76.85,12,1.22,64,2018-10-28 01:27:27
Chandler,33.31,-111.84,84.18,1,2.6,24,2018-10-28 00:58:00
Camopi,3.17,-52.33,79.24,20,1.77,78,2018-10-28 01:27:29
Itoman,26.12,127.67,73.38,75,7.7,56,2018-10-28 00:56:00
Belmonte,40.36,-7.35,39.86,88,2.57,84,2018-10-28 01:27:31
Borogontsy,62.67,131.17,5.93,36,1.17,73,2018-10-28 01:27:33
Roebourne,-20.77,117.15,75.5,0,1.47,68,2018-10-28 01:27:34
Berdigestyakh,62.1,126.7,8.23,0,1.17,73,2018-10-28 01:27:35
Hay River,60.82,-115.79,28.38,20,0.67,92,2018-10-28 01:00:00
Dakar,14.69,-17.45,78.78,12,3.1,78,2018-10-28 00:00:00
Samarai,-10.62,150.67,80.27,80,4.07,100,2018-10-28 01:27:39
Maubin,16.73,95.65,80.58,40,1.5,94,2018-10-28 01:00:00
Nhulunbuy,-12.18,136.78,87.78,68,4.6,52,2018-10-28 01:00:00
Aguada de Pasajeros,22.38,-80.85,78.78,36,1.62,88,2018-10-28 00:59:00
Svetlaya,46.54,138.33,40.9,0,4.97,100,2018-10-28 01:27:45
Leshukonskoye,64.9,45.76,26.95,8,2.22,85,2018-10-28 01:27:47
Gasa,27.91,89.73,-14.0,0,0.47,47,2018-10-28 01:27:48
Dukat,42.44,22.31,51.65,0,1.87,65,2018-10-28 01:27:49
Riverton,43.02,-108.38,49.98,90,3.1,57,2018-10-28 00:55:00
Tevaitoa,-16.78,-151.5,79.91,36,4.72,100,2018-10-28 01:27:52
Amapa,15.09,-87.97,82.38,40,3.6,74,2018-10-28 01:00:00
San Borja,-14.86,-66.75,76.63,12,1.07,85,2018-10-28 01:27:54
Kautokeino,69.01,23.04,16.55,12,2.22,93,2018-10-28 01:27:55
Mul,20.07,79.68,65.38,0,1.27,74,2018-10-28 01:27:56
Daru,7.99,-10.85,74.2,80,1.32,95,2018-10-28 01:27:58
Paka,45.29,18.06,62.58,0,6.2,55,2018-10-28 01:00:00
Yaounde,3.87,11.52,71.58,40,1.07,100,2018-10-28 01:00:00
Riyadh,24.63,46.72,67.98,75,4.6,94,2018-10-28 00:22:00
Mandera,3.94,41.86,72.98,36,1.42,80,2018-10-28 01:28:03
San Carlos de Bariloche,-41.13,-71.31,53.58,75,5.7,76,2018-10-28 00:00:00
Yook,13.23,121.96,80.18,76,8.27,100,2018-10-28 01:28:06
Praia da Vitoria,38.73,-27.07,64.38,75,7.77,68,2018-10-28 01:00:00
Atar,20.52,-13.05,84.19,76,2.57,24,2018-10-28 01:28:08
Concordia,-31.4,-58.02,65.11,36,5.12,72,2018-10-28 01:28:10
San Quintin,17.54,120.52,78.78,75,3.1,69,2018-10-28 01:00:00
Morehead,38.18,-83.43,44.58,90,1.5,93,2018-10-28 01:08:00
Vanimo,-2.67,141.3,79.91,56,2.62,100,2018-10-28 01:28:13
Hargeysa,9.56,44.06,60.61,92,1.37,90,2018-10-28 01:28:14
Umm Lajj,25.02,37.27,73.7,0,3.57,93,2018-10-28 01:28:15
Tomatlan,19.93,-105.25,80.5,0,1.42,70,2018-10-28 01:28:17
Neiafu,-18.65,-173.98,78.78,75,3.6,74,2018-10-28 01:00:00
Suar,29.03,79.05,60.47,0,1.27,78,2018-10-28 01:28:19
Ridgecrest,35.62,-117.67,80.58,1,1.72,12,2018-10-28 00:56:00
Shizilu,21.7,109.38,72.17,0,4.62,86,2018-10-28 01:28:21
Barra do Garcas,-15.89,-52.26,82.39,32,3.92,63,2018-10-28 01:28:23
